week	dk1_price_vol	dk1_load_vol	dk1_wind_vol	dk1_pen_vol	dk1_exim_vol	dk1_load	dk1_wind	dk1_pen	dk1_exim
92	1.774016433	5.438642395	4.919936609	-2.90270534	4.302864569	7.734915507	5.455829736	-2.257689141	-1.006448214
93	1.568767099	5.299845154	5.815915244	-1.917270588	5.041642578	7.751119392	7.1684469	-0.561599492	-0.689244048
94	1.997943551	5.364123342	6.270273246	-1.545033877	4.456904578	7.766706908	6.539646166	-1.205863634	-0.897369643
95	1.573339244	5.382421708	5.911875758	-1.881777515	5.254465359	7.763074454	6.981038932	-0.746014104	-0.563875
96	1.536764452	5.64134397	6.25490333	-1.595586618	5.82781516	7.760661769	6.86386932	-0.875491761	-0.649688738
97	0.613179343	5.413107869	5.609768807	-2.247449514	5.275802726	7.779678552	6.251548283	-1.534549219	-1.047569643
98	1.281525663	5.356693509	5.730083335	-2.038560826	5.046965161	7.788127648	6.356448624	-1.416813641	-0.688871429
99	1.666789318	5.514802714	5.285185468	-2.481360542	5.073649354	7.812351708	5.586044081	-2.172924196	-0.807696429
100	2.288981	5.515763745	6.730721303	-0.892203096	6.383979551	7.817263538	7.067436555	-0.639614188	-0.518077976
101	1.498478063	5.391607985	6.273351772	-1.412575072	6.450510252	7.839713115	7.30364693	-0.465358788	-0.562582143
102	1.131358667	5.434288409	6.267353452	-1.434937828	5.868939559	7.850469993	7.176923269	-0.605004803	-0.360975595
103	1.064234054	5.568927435	6.322427658	-1.601303625	6.23410713	7.850328532	7.090176037	-0.716337531	-0.348817262
104	2.10870872	5.797346763	6.167141898	-1.358555287	6.634301626	7.806936183	6.828228807	-0.862239381	-0.546808929
105	2.406140396	4.701819765	6.382763236	-1.224984657	6.626871219	7.686281863	7.101328403	-0.534406721	0.15205625
106	2.106286303	5.640154809	6.539937199	-1.099823375	6.352315	7.805782324	7.3941217	-0.371209625	0.179074479
107	1.678200432	5.569813229	6.674266766	-1.183685696	6.228496872	7.855477769	7.088224924	-0.739435878	-0.458594643
108	1.563664621	5.497768657	5.88308666	-1.945785346	6.057274739	7.851714447	6.586491801	-1.240719033	-0.5788
109	1.372265998	5.359433359	6.486468488	-1.395999762	5.954774034	7.868340825	6.717610342	-1.119225779	-0.5984375
110	2.079140729	4.994470811	6.106644992	-1.772471197	5.432139177	7.902456618	6.482224116	-1.385130175	-0.067228571
111	2.941311217	5.658520859	5.408071537	-2.444933741	5.430899624	7.929132918	5.80048058	-2.070381072	-0.519299405
112	1.732875844	5.612355703	6.227057003	-1.438789365	6.465324706	7.844208051	7.044692324	-0.750271358	-0.256622024
113	1.4673316	5.527133038	6.530696546	-1.231107099	6.273928373	7.799099318	7.416868724	-0.35654346	-0.165141667
114	1.675612692	5.454695923	5.821710472	-1.894497092	5.681692382	7.786044935	6.67277107	-1.069318272	-1.246496429
115	1.065330445	5.42038439	5.78809268	-1.759321005	5.502986731	7.776812135	7.080917958	-0.660063053	0.04301131
116	1.191550995	5.391100253	6.142587749	-1.652096918	5.71366496	7.752424688	6.603112727	-1.133405592	-1.313417262
117	1.319589758	5.398599283	6.315961676	-1.457277032	5.903522214	7.739033933	6.417422598	-1.309297	-1.273850595
118	1.753531017	5.479696615	6.477958249	-1.171725126	6.618878824	7.721702105	7.322219456	-0.360070232	-0.425015476
119	1.513045411	5.547396217	5.91636343	-1.666097838	5.748307097	7.658477619	6.453812458	-1.156056841	-1.253080357
120	1.994105301	5.391846146	6.341027276	-1.314670588	6.473319473	7.672818831	6.330431543	-1.293102873	-0.603222619
121	1.325228635	5.511270905	6.144748927	-1.680758627	5.657197287	7.698412599	6.643611456	-1.080569822	-1.171242262
