date	op1_price	op2_price	p_price	op1_load	op2_load	p_load	op1_wind	op2_wind	p_wind	op1_res	op2_res	p_res	op1_wind_pen	op2_wind_pen	p_wind_pen	op1_res_pen	op2_res_pen	p_res_pen	op1_exp	op2_exp	p_exp	p_solar	p_solar_pen
12/02/12	3.685341955	3.85756682	3.752773236	10.78788764	10.93608022	10.90508863	7.535481549	8.129743084	8.192641719	7.547895197	8.129743084	8.897542579	-3.233001805	-2.806357382	-2.710745287	-3.219880662	-2.806357382	-2.007129799	3	3	3	8.216012533	-2.689917124
13/02/12	3.879138178	4.232402154	4.733013557	10.91312062	11.07775216	11.17960658	7.75966641	8.342716582	7.963244026	7.763256719	8.342716582	8.375036421	-3.136879356	-2.731982712	-3.217188954	-3.134021455	-2.731982712	-2.805757496	2.83575	2.1895	0.841666667	7.288959855	-3.892542826
14/02/12	3.959526628	3.758580408	4.363045545	10.9595011	11.02449714	11.16731409	7.809874569	9.559825431	8.491433234	7.812864733	9.559825431	8.749303554	-3.144234181	-1.45430175	-2.672212292	-3.14170087	-1.45430175	-2.417130157	2.432375	1.65	0.683333333	7.267839114	-3.908131259
15/02/12	3.170263145	3.714608115	3.747089398	10.88342422	11.00336571	11.11969891	9.882744967	9.532054056	9.854241503	9.883028562	9.532054056	9.94676924	-0.991516793	-1.47309626	-1.265035035	-0.991281404	-1.47309626	-1.172880132	1.2	1.275	1.2	7.520615243	-3.602888144
16/02/12	3.811124741	3.843422914	4.160119298	10.90915727	11.00941883	11.13918429	8.710374113	9.133160687	8.478839849	8.712010619	9.133160687	8.86330772	-2.173608698	-1.867434575	-2.658640582	-2.172287632	-1.867434575	-2.276700183	2.1925	2.5	2.904166667	7.721330143	-3.424090193
17/02/12	3.632838063	3.896960128	3.998292441	10.86063228	10.97095741	11.09532325	9.278412253	8.529386549	9.013978104	9.279003539	8.529386549	9.142091019	-1.57149421	-2.440761073	-2.081535185	-1.571007326	-2.440761073	-1.954170256	1.8	3	2.425	7.02387508	-4.077875757
18/02/12	3.706842154	3.556133467	3.814740883	10.76777948	10.81679384	10.9210374	8.686788909	9.511298859	9.323362165	8.68900829	9.511298859	9.44762329	-2.078546333	-1.305295333	-1.59667801	-2.076346685	-1.305295333	-1.473423505	2.875	1.5	1.841083333	7.300765929	-3.627921765
19/02/12	2.957316237	3.646689337	3.461900432	10.60165337	10.82856457	10.78847852	9.445944961	9.248280217	9.501302061	9.446764347	9.248280217	9.706163189	-1.155418991	-1.580403439	-1.282541906	-1.154588538	-1.580403439	-1.077129853	1.8	2.5	2.34325	8.020057734	-2.760815707
20/02/12	3.850705956	3.778434468	4.013526091	10.7770717	10.98886684	11.07705012	8.691893488	9.142800284	8.470731365	8.69788154	9.142800284	9.200645907	-2.063491426	-1.838590982	-2.606656064	-2.058735434	-1.838590982	-1.878270576	2.5	2.15	2.687333333	8.542962054	-2.537379035
21/02/12	3.543456204	3.89064614	3.868436777	10.85857102	10.98603397	11.08633758	9.507470452	9.116029693	9.443858784	9.510946505	9.116029693	9.712125377	-1.347581849	-1.867409599	-1.642288583	-1.34463042	-1.867409599	-1.375172325	1.725	2.5	1.900166667	8.265214864	-2.825830546
22/02/12	3.727589219	3.650463417	3.850962872	10.87078266	10.97708541	11.10822382	8.997274619	9.805466151	9.359461065	9.005766151	9.805466151	9.737865037	-1.867786538	-1.163070973	-1.747479861	-1.860793069	-1.163070973	-1.371153781	2.494375	1.2695	1.720416667	8.582829235	-2.530722159
23/02/12	3.172884241	3.698891664	3.963982744	10.82787541	10.97581575	11.09609223	9.885337902	9.36595876	9.555881363	9.885970648	9.36595876	9.654398299	-0.92758626	-1.60301605	-1.539436	-0.927072237	-1.60301605	-1.441369696	1.231875	1.7945	1.895416667	7.288017387	-3.812113637
24/02/12	3.53700223	3.864721732	3.927026554	10.81203589	10.90133062	11.06193592	9.675514075	9.591590141	9.705714331	9.676593696	9.591590141	9.809701369	-1.125542291	-1.306492336	-1.355645758	-1.124669369	-1.306492336	-1.252717433	1.494375	1.4945	1.495416667	7.494669341	-3.577462614
25/02/12	3.564095406	3.770113759	3.751834691	10.64599319	10.75938582	10.83923935	9.459530448	9.201712257	9.549063466	9.461894931	9.201712257	9.775259075	-1.185762901	-1.55796589	-1.288273307	-1.183495718	-1.55796589	-1.0636285	1.788125	1.7945	1.763666667	8.177937083	-2.667083826
26/02/12	3.455172493	4.027848571	3.822335323	10.54142919	10.83491317	10.77881392	8.836611185	7.600113398	8.172267525	8.840158729	7.600113398	8.734447971	-1.708693404	-3.234786803	-2.590368802	-1.705073209	-3.234786803	-2.033003716	2.494	2.9665	2.288416667	7.890559456	-2.883310415
27/02/12	3.690128674	3.841171264	3.956789211	10.81043982	10.97422749	11.11176483	7.723694595	8.307478444	8.399563457	7.743437185	8.307478444	8.981181421	-3.096221581	-2.666554114	-2.711163501	-3.080583287	-2.666554114	-2.134114718	1.48125	2.9945	2.805916667	8.162486428	-2.958631489
28/02/12	3.736955077	3.785325352	3.954651367	10.8350486	10.93841429	11.08045908	8.600520269	9.182271604	9.144771365	8.602458545	9.182271604	9.229416101	-2.229382126	-1.753894376	-1.932996904	-2.227822808	-1.753894376	-1.849128238	2.677125	2.4945	2.50325	6.718099895	-4.369272713
29/02/12	3.607703292	3.910571953	4.050392675	10.82048803	10.98139105	11.10454611	8.841375393	8.020845587	8.188876838	8.843563143	8.020845587	8.603738175	-1.944042175	-2.95596371	-2.915450193	-1.942363973	-2.95596371	-2.502611176	2.619375	2.78775	1.813333333	7.523657553	-3.586636793
01/03/12	3.693866996	3.833358514	3.964425684	10.82282613	10.95720707	11.08352109	8.002184246	8.142098207	8.175263054	8.014781446	8.142098207	8.944292962	-2.810088024	-2.806612665	-2.907885726	-2.79999951	-2.806612665	-2.141160289	2.5575	2.85875	2.088333333	8.321674231	-2.765773912
02/03/12	3.771697154	3.889930759	3.966526973	10.81783891	10.93841429	11.07906088	7.914862016	8.002207259	7.28902901	7.933946953	8.002207259	8.659974484	-2.880889334	-2.924060608	-3.790847329	-2.865867474	-2.924060608	-2.424661143	2.40975	2.81175	2.112583333	8.367123313	-2.719136809
03/03/12	3.572626497	3.724487882	3.718721388	10.71313639	10.78143239	10.88529289	8.428648549	8.742672812	8.684099599	8.448329062	8.742672812	9.405039283	-2.282231671	-2.038764437	-2.197961506	-2.263158352	-2.038764437	-1.485806879	2.838	2.9945	2.265666667	8.738933025	-2.160301167
04/03/12	3.41275533	3.718802268	3.71263667	10.54817295	10.7831921	10.77590825	8.07125798	8.698771972	7.923477082	8.086475081	8.698771972	8.686076807	-2.479087247	-2.081120563	-2.857703931	-2.463726739	-2.081120563	-2.08961483	2.483125	2.994	1.150166667	8.057870187	-2.713046946
05/03/12	3.438733985	3.89492771	3.950153381	10.72870138	10.96428547	11.08829538	9.040273321	8.638795591	8.967007612	9.045492777	8.638795591	9.280526664	-1.671409715	-2.325437603	-2.120922675	-1.667544853	-2.325437603	-1.809109032	1.759125	2.9945	2.7565	7.967964231	-3.126317543
06/03/12	3.744757535	3.876395828	3.966937236	10.84794777	10.96696477	11.09516128	8.482730362	8.27764456	8.180880242	8.512735646	8.27764456	9.20445865	-2.349077513	-2.687638551	-2.913649557	-2.32472585	-2.687638551	-1.897421788	2.780875	2.9945	2.732833333	8.759253945	-2.346772573
07/03/12	3.751502079	3.703952779	3.796948798	10.85179281	10.97967954	11.11688456	8.116647339	9.24883077	8.843261494	8.167713726	9.24883077	9.556738452	-2.735379382	-1.726787996	-2.272902019	-2.692943111	-1.726787996	-1.563676556	2.8685	1.9695	2.538166667	8.88351597	-2.240999879
08/03/12	3.549904702	3.905401129	3.951772425	10.84503903	10.96270478	11.07065762	9.051256712	8.397173531	9.106330333	9.058913012	8.397173531	9.518735901	-1.786943384	-2.56312856	-1.965396901	-1.780717117	-2.56312856	-1.553788831	2.494375	2.8695	2.186166667	8.433861672	-2.640227258
09/03/12	3.77971943	3.838161157	3.927715892	10.84929097	10.9126628	11.07043972	8.142345548	8.840822958	8.501278048	8.189747072	8.840822958	9.294920462	-2.704065677	-2.064931516	-2.56368202	-2.664487603	-2.064931516	-1.78046199	2.696375	2.4945	2.35975	8.693085094	-2.390983287
10/03/12	3.57749388	3.702843994	3.830686405	10.68409887	10.74057273	10.86300698	8.913540525	9.014257968	8.983877359	8.927338082	9.014257968	9.364716098	-1.769966612	-1.722359759	-1.8768006	-1.756543367	-1.722359759	-1.501099906	2.556875	2.4945	2.149166667	8.214953446	-2.662038341
11/03/12	2.934654424	3.804771815	3.579390056	10.48802589	10.77322113	10.75493927	9.209683406	8.846114131	9.086888203	9.216108206	8.846114131	9.34345943	-1.276502976	-1.925512548	-1.66021488	-1.2700772	-1.925512548	-1.403756616	2.494	2.494	1.338333333	7.857566212	-2.890036137
12/03/12	3.518980417	3.83395335	3.95492284	10.71196198	10.92570464	11.05832788	9.098878224	8.579727988	9.218497016	9.105704524	8.579727988	9.452553897	-1.599369305	-2.346276237	-1.839444416	-1.594166831	-2.346276237	-1.607255324	2.190125	2.47525	2.297916667	7.885615911	-3.181307741
13/03/12	3.696661595	3.902124173	3.959399472	10.79650966	10.93650743	11.07560843	8.475185859	8.410037176	8.644999603	8.502072828	8.410037176	9.250355041	-2.305430315	-2.5237497	-2.429208403	-2.283998327	-2.5237497	-1.827437844	1.32175	2.3145	1.8315	8.460960437	-2.621158776
14/03/12	3.634093224	3.891871317	3.949158212	10.79997856	10.96677918	11.07995811	8.354070845	7.187630709	7.804580447	8.391446278	7.187630709	9.130517595	-2.425656093	-3.776256815	-3.277089888	-2.395976845	-3.776256815	-1.955634442	1.46425	1.75975	1.038583333	8.821878818	-2.265898626
15/03/12	3.713541578	3.810211739	3.961876097	10.83952454	10.95984453	11.07552325	7.066072268	7.597243273	6.869669122	7.26791614	7.597243273	9.182055731	-3.762881258	-3.342578364	-4.205719363	-3.595424969	-3.342578364	-1.900917352	1.009875	2.17725	1.107083333	9.077778366	-2.006031846
16/03/12	3.679050053	3.837461084	3.817419243	10.80801689	10.89164303	11.05246548	8.084204768	8.39052732	8.195669336	8.171756469	8.39052732	9.445239027	-2.725227072	-2.492096091	-2.853982219	-2.652617787	-2.492096091	-1.618933529	1.818875	1.563	1.389	9.107486619	-1.962580284
17/03/12	3.421612566	3.875307152	3.783336998	10.66279986	10.76433428	10.86800321	8.512996648	8.537521661	8.493298473	8.571189897	8.537521661	9.48707837	-2.149645162	-2.223418176	-2.370139076	-2.094323402	-2.223418176	-1.386562943	0.757	1.1655	0.775916667	9.024765378	-1.854922059
