date	de_price_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_op1_exim	de_op2_exim	de_p_exim
28/02/12	2.049312726	10.98107125	9.001432921	6.033413906	9.051560326	-1.987251544	-5.053617274	-1.941714123	2.677125	2.4945	2.50325
29/02/12	2.416647488	10.9972527	8.436516978	6.835948855	8.620322307	-2.483276199	-4.274013208	-2.32897939	2.619375	2.78775	1.813333333
01/03/12	2.229754909	10.98229459	8.115074478	7.634648277	8.596586457	-2.857183403	-3.452475207	-2.418024596	2.5575	2.85875	2.088333333
02/03/12	2.02552943	10.97536864	7.669754127	7.68211506	8.369100873	-3.245843519	-3.403737395	-2.628530199	2.40975	2.81175	2.112583333
03/03/12	2.08791548	10.81362606	8.616794002	8.055454579	9.068152693	-2.196140701	-2.842148476	-1.774714277	2.838	2.9945	2.265666667
04/03/12	2.000813758	10.70691189	8.145253039	7.375029797	8.525680448	-2.558271408	-3.393238892	-2.197881361	2.483125	2.994	1.150166667
05/03/12	2.618555949	10.9603276	8.945484836	7.284959935	9.119471086	-1.97392039	-3.808465804	-1.825771046	1.759125	2.9945	2.7565
06/03/12	2.22294053	10.99748016	8.306972035	8.08139026	8.893675779	-2.655012818	-3.023656826	-2.129295668	2.780875	2.9945	2.732833333
07/03/12	2.069859687	11.01264612	8.750276512	8.206461676	9.208036366	-2.275242417	-2.916673264	-1.852239671	2.8685	1.9695	2.538166667
08/03/12	2.549081498	10.98250282	8.998167722	7.750169627	9.250542975	-1.975313815	-3.323648044	-1.744462084	2.494375	2.8695	2.186166667
09/03/12	1.978350193	10.97562253	8.467574985	8.018423422	8.961154364	-2.501535104	-3.064642017	-2.050818071	2.696375	2.4945	2.35975
10/03/12	1.96969788	10.78632922	8.966223515	7.540260227	9.181558172	-1.813433975	-3.333439713	-1.615640534	2.556875	2.4945	2.149166667
11/03/12	2.465764647	10.6769649	9.094744739	7.180893031	9.232340094	-1.549505294	-3.561836393	-1.424039229	2.494	2.494	1.338333333
12/03/12	2.418828499	10.9324438	9.094908243	7.207715417	9.235970634	-1.815550439	-3.857681237	-1.693552352	2.190125	2.47525	2.297916667
13/03/12	2.337326034	10.9671079	8.554024835	7.786073598	8.935171734	-2.400731165	-3.294695521	-2.057828938	1.32175	2.3145	1.8315
14/03/12	2.352724191	10.9754471	7.959349187	8.144509176	8.749355782	-2.953432288	-2.942073152	-2.254589411	1.46425	1.75975	1.038583333
15/03/12	2.329912745	10.98310177	7.093357559	8.40437918	8.643037389	-3.859198321	-2.678421532	-2.410656386	1.009875	2.17725	1.107083333
16/03/12	2.036982904	10.95038029	8.196366522	8.436026474	9.016506173	-2.742014789	-2.632579453	-1.992653675	1.818875	1.563	1.389
17/03/12	2.342135859	10.78651963	8.507366147	8.355281333	9.127359362	-2.267068873	-2.520219892	-1.692507822	0.757	1.1655	0.775916667
18/03/12	2.302284349	10.69879827	8.51519002	7.77901892	8.906518501	-2.190796481	-2.991606542	-1.819946884	0.223375	3	0.685416667
19/03/12	2.991964052	10.91275089	8.698011536	8.076717749	9.128005927	-2.169815771	-2.964269139	-1.796992215	2.751125	2.61675	2.205
20/03/12	2.46972586	10.95782136	8.625964334	8.41311269	9.218338262	-2.328495371	-2.653358399	-1.784645311	2.73	2.924	2.096083333
21/03/12	2.427925386	10.96106298	7.753741923	8.438079771	8.846489954	-3.137950458	-2.632651421	-2.160571741	2.7155	2.167	2.04025
22/03/12	2.251973774	10.96709207	7.205178811	8.479001502	8.725674171	-3.74429017	-2.599972001	-2.323522048	1.344625	2.44825	2.10825
23/03/12	2.11073044	10.94559342	6.717294438	8.200119383	8.404687907	-4.190627915	-2.860251517	-2.625671428	0.333375	1.63175	1.545416667
24/03/12	1.934344415	10.78319383	6.80307208	8.338896823	8.533869737	-3.972800458	-2.534366567	-2.321435705	-0.363	1.142	0.139416667
25/03/12	2.216993136	10.65983447	6.908872779	7.551413129	7.974033322	-3.76097167	-3.17822304	-2.734588074	1.54575	0.76975	1.728416667
26/03/12	2.517988392	10.91725354	7.190780431	8.53370487	8.765674188	-3.673779706	-2.514644082	-2.241752907	-0.171	0.84075	2.026333333
27/03/12	2.240001084	10.92827612	8.423282066	8.582416907	9.19915882	-2.498878481	-2.467198349	-1.789765786	-0.845	0.17375	1.541166667
28/03/12	2.376735315	10.91190233	8.783257845	8.594350895	9.386405663	-2.125078645	-2.438673429	-1.576486188	-0.77075	0.75525	1.92175
29/03/12	2.428733639	10.89100144	9.694017487	8.175437941	9.892067023	-1.193153714	-2.845719604	-1.01789222	0.546125	1.35	1.228083333
30/03/12	2.391889641	10.88421993	9.656021157	7.146923251	9.734223635	-1.211997595	-3.852771246	-1.143119054	0.832625	1.17925	1.178
31/03/12	2.481141554	10.72260362	9.705306445	7.618541903	9.822278457	-0.999909263	-3.180944808	-0.892917999	1.5	-1.56125	0.525
01/04/12	2.364089463	10.73291417	9.018443922	8.52406064	9.494645154	-1.74007594	-2.269081608	-1.276851154	-1.414625	0.4015	0.724583333
02/04/12	2.847934045	10.95737775	8.93671104	8.282327084	9.355264889	-1.95154236	-2.810506167	-1.598352932	0.878625	-0.49025	0.622333333
03/04/12	2.130725707	10.92711285	7.653600652	8.253703281	8.691154867	-3.258303249	-2.810324303	-2.316287952	-0.094875	1.20325	1.3455
04/04/12	2.153290984	10.96610774	8.536852753	7.962523651	8.983512594	-2.414511129	-3.128719877	-2.016017372	1.043125	1.83575	2.2815
05/04/12	2.206634949	10.94624719	7.874707597	7.724564384	8.495598402	-3.041680699	-3.330848735	-2.482701483	0.250125	-0.7135	-1.246083333
06/04/12	1.66207574	10.73553308	7.90268612	8.025877056	8.659324571	-2.855702228	-2.762358657	-2.114794529	0.687375	2.14025	2.206166667
07/04/12	1.915649575	10.6926776	8.829073486	7.913820366	9.165842293	-1.87426575	-2.865266301	-1.558575765	0.9715	1.01025	0.941416667
08/04/12	2.179073443	10.5642837	7.772591475	8.274242794	8.747696659	-2.777226412	-2.3668001	-1.857956005	0.8325	0.025	0.723083333
09/04/12	2.050379404	10.65508346	9.228586151	7.338892601	9.369319892	-1.421367026	-3.403430136	-1.292283919	1.717	0.9955	0.493166667
10/04/12	2.862289797	10.92843312	9.266974848	7.782213176	9.471185358	-1.621949379	-3.291140555	-1.449342031	0.273375	0.29025	1.0825
