BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
07.01.2015;23:00;UTC;08.01.2015;07:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;363;500;2900;50Hertz;50Hertz & PSE;Boxberg, Jänschwalde;Konventionell
07.01.2015;23:15;UTC;08.01.2015;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;100;675;TenneT DE;TenneT DE;Brokdorf;Konventionell
08.01.2015;00:30;UTC;08.01.2015;18:45;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;552;757;10070;TenneT DE;TenneT DE;Wilhelmshaven (EON);Konventionell
08.01.2015;00:30;UTC;08.01.2015;15:45;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;273;375;4164;TenneT DE;TenneT DE;Ingolstadt 3;Konventionell
08.01.2015;04:00;UTC;08.01.2015;14:15;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;304;370;3118;TenneT DE;TenneT DE;Ingolstadt 4;Konventionell
08.01.2015;05:00;UTC;08.01.2015;09:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;675;850;2700;50Hertz;50Hertz & TenneT DE;Schkopau;Konventionell
08.01.2015;05:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;614;735;11060;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
08.01.2015;05:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;104;110;1870;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
08.01.2015;05:00;UTC;08.01.2015;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;300;400;5405;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau ;Konventionell
08.01.2015;05:00;UTC;08.01.2015;07:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;85;110;170;TransnetBW;TenneT DE;Vorarlberger Illwerke AG;Sonstiges
