week	de_price_vol	de_load_vol	de_wind_vol	de_solar_vol	de_res_vol	de_wind_pen_vol	de_solar_pen_vol	de_res_pen_vol	de_exim_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_exim
11	1.503237436	8.574205707	7.707625958	7.0567698	7.29528297	-3.155626793	-3.94607785	-3.371171003	6.144411707	10.90421189	8.419183358	8.093870801	8.962844869	-2.445913404	-2.907812042	-1.957280505	1.414333333
12	1.918134951	8.609081811	7.644855744	6.854357079	7.77271424	-3.276317738	-4.360687547	-3.265643699	6.662304547	10.88960647	7.850576133	8.253414407	8.765291593	-3.036901134	-2.752446248	-2.191446104	1.700065476
13	2.06028617	8.32077603	8.656227323	7.365708186	8.407074598	-2.12558443	-3.616105342	-2.292438666	5.950081897	10.85873397	9.194460823	8.28378804	9.532541411	-1.630175395	-2.685609874	-1.331522836	0.712589286
14	1.667865347	8.887778983	7.663525178	6.433887654	7.706588966	-3.152554766	-4.078894414	-3.095860511	6.631812143	10.83784247	8.34122831	8.081795716	8.913048864	-2.472073067	-2.828312902	-1.941265631	0.827839286
15	2.445940411	8.493928856	8.2087968	6.702999539	8.017573294	-2.522025792	-4.35842909	-2.650357509	6.650140496	10.85833784	8.516746973	7.934526543	8.960571225	-2.285376274	-3.036756385	-1.89894783	0.581089286
16	1.68677999	8.603930623	7.479587518	6.409940342	7.432878378	-3.501770618	-4.445659757	-3.516478082	5.855050227	10.9293943	8.461184801	8.293985144	9.074222556	-2.451086755	-2.736105237	-1.890328559	1.697529762
17	2.230578432	8.582470709	7.51883998	6.67682446	7.550058413	-3.385153652	-4.133199079	-3.278406313	6.532289087	10.89226859	8.640037535	8.385963698	9.214195375	-2.228560607	-2.611542497	-1.708680947	1.018214286
18	2.146658772	8.726479356	6.391657936	6.829664952	7.270522948	-4.086033079	-3.978001118	-3.361061601	6.095561625	10.81923742	8.147910101	8.493386457	9.028641089	-2.626168187	-2.436307496	-1.833591527	0.260684524
19	1.759770022	8.659585476	8.065570553	6.868861828	8.087023781	-2.72787252	-3.697275647	-2.640837442	6.472339163	10.8796471	8.626838662	8.478677953	9.248646931	-2.210866957	-2.496222229	-1.650253306	-0.437047619
20	2.034476839	8.664411774	7.8461682	6.772970826	7.714451775	-3.074693437	-3.64844237	-2.994902095	5.858453324	10.81421199	8.556372741	8.680658326	9.313592336	-2.254317942	-2.219691186	-1.543707514	0.402053571
21	2.128117731	8.740420184	7.375188783	6.812069917	7.4760015	-3.68807458	-3.697275669	-3.776414476	6.29039511	10.87489285	8.342157804	8.749948733	9.259844677	-2.527055962	-2.227222122	-1.672796163	0.65902381
22	2.085589972	8.792881468	8.149182289	7.160388139	8.194865725	-2.683761089	-3.526496657	-2.618462868	6.883521793	10.81057343	8.482427282	8.585666684	9.228525869	-2.339258943	-2.319383982	-1.636124906	0.609803571
23	2.226298164	8.541907277	7.649102417	6.765593327	7.935389676	-3.064913046	-3.826967784	-2.747202898	6.634779041	10.80244439	8.473476523	8.45620478	9.158025121	-2.302460163	-2.437364263	-1.674491866	0.828934524
24	2.306392969	8.628489907	7.398639645	6.787105586	7.723656968	-3.177380276	-3.592953166	-2.704341911	6.121318097	10.8588962	8.090466689	8.554982122	9.042604349	-2.693337617	-2.395953918	-1.84048445	0.133357143
25	2.350926277	8.707128127	7.448669113	6.914850461	7.758508488	-3.279978816	-3.759404869	-2.858124746	6.29695802	10.85725434	8.30612404	8.605067874	9.159872714	-2.513009946	-2.356823169	-1.738723183	0.381595238
26	2.10648859	8.591193283	8.381254658	7.085279577	8.424854116	-2.445544572	-3.939456185	-2.434498053	6.374480594	10.84818744	8.525513098	8.475603343	9.194016741	-2.28398511	-2.511374875	-1.698083426	0.61002381
27	2.084606323	8.669789009	6.416700286	6.469677262	6.821831538	-4.130737575	-3.906626449	-3.438355426	5.935129418	10.8618168	7.634851273	8.497772528	8.849786029	-3.160370384	-2.466013881	-2.060951718	0.140130952
28	2.001209629	8.621822617	7.555099132	6.989919442	7.73749005	-3.244788639	-3.833422947	-3.004599044	6.150138188	10.82925514	8.620115559	8.400827867	9.209617775	-2.195496163	-2.534928609	-1.657732018	0.736982143
29	1.704110412	8.570992382	7.827431827	6.662704743	7.705682343	-3.161645478	-3.663446287	-3.476760515	5.343881139	10.81325048	8.684135081	8.436112324	9.260940666	-2.148102621	-2.47151217	-1.603642582	0.868339286
30	1.863337456	8.647242022	6.929760119	6.968510445	6.802437876	-3.745450027	-4.796856244	-3.965521775	6.10012774	10.83578977	7.648759096	8.671751161	8.978881113	-3.122616093	-2.299239351	-1.935327798	1.208738095
31	1.166587977	8.475797596	6.968626835	6.619806307	7.221686592	-3.87129723	-4.343209821	-3.914665577	6.056822463	10.81158505	7.609890429	8.491298819	8.837862216	-3.18352722	-2.444988621	-2.054426222	0.555071429
32	1.860271181	8.419233122	7.696599777	6.677544744	7.654018341	-3.141424535	-3.592240114	-3.036147009	6.122558942	10.78289421	8.258873886	8.512746229	9.086992091	-2.525376233	-2.368078982	-1.750490807	0.860511905
33	1.668144984	8.404218854	6.793481111	6.669231007	7.201402331	-3.938948611	-3.765794038	-3.322681183	6.633355332	10.81663609	7.837114859	8.6803585	9.038251436	-2.902273403	-2.248392182	-1.829666368	0.541619048
34	2.356149543	8.741991188	8.038049028	6.922476624	7.985435677	-2.515924026	-4.327211886	-2.456749012	6.639983243	10.84699651	8.455301463	8.383495105	9.113189845	-2.296648602	-2.589614458	-1.739293875	-0.029017857
35	1.776839005	8.460489189	6.949433889	7.087733236	7.454453744	-3.812267655	-3.891610799	-3.401142479	6.56903279	10.84900589	7.880784897	8.278855476	8.792645476	-2.901897022	-2.692368684	-2.098507916	0.585845238
36	1.370919542	8.61047834	7.495363356	6.660387375	7.63834749	-3.414740536	-3.826228035	-3.20171214	6.519770811	10.87318442	8.017388214	8.455655895	8.953489323	-2.839146164	-2.517213146	-1.972132927	0.572458333
37	2.223618973	8.664332664	7.864336372	7.088810596	8.009835947	-3.054384088	-3.592870469	-2.872439985	6.51387772	10.8731614	8.511323522	8.307325845	9.107664751	-2.337911248	-2.659054408	-1.792499051	0.730994048
38	1.953489638	8.646065921	7.023734182	6.516694163	6.88905739	-3.818814985	-4.969470196	-4.092617224	6.179105685	10.87784917	8.410613308	8.284554743	9.042716238	-2.438723396	-2.716380858	-1.874799036	0.658130952
39	1.972633322	8.637170438	7.66429412	6.453233257	7.532989134	-3.343189428	-3.993215656	-3.389449492	6.623558925	10.87474536	8.869323131	8.076748679	9.242731809	-1.982003997	-2.886375459	-1.642111733	1.07522619
